1,2
"(36.5341226, -121.8510037)","(32.9736738, -117.1598287)"
"(36.5341226, -121.8510037)","(33.8381169, -116.552543)"
"(32.8900452, -117.1990907)","(32.8944978, -117.2021563)"
"(32.8900452, -117.1990907)","(32.9390205, -117.1284305)"
"(32.8900452, -117.1990907)","(34.6222353, -117.2346253)"
"(32.8900452, -117.1990907)","(40.2559457, -74.38651229999999)"
"(39.1649091, -76.6114339)","(32.8900452, -117.1990907)"
"(39.1649091, -76.6114339)","(32.8983087, -117.1706981)"
"(39.1649091, -76.6114339)","(32.8832974, -117.1630001)"
"(32.8020211, -117.2532593)","(32.809277, -117.2562078)"
"(32.8020211, -117.2532593)","(32.8063768, -117.2516748)"
"(32.8020211, -117.2532593)","(32.801394, -117.2335118)"
"(32.8020211, -117.2532593)","(44.9400126, -93.14970939999999)"
"(32.7270242, -117.2443204)","(32.73960539999999, -117.2315293)"
"(32.7270242, -117.2443204)","(32.7441429, -117.2350978)"
"(32.7270242, -117.2443204)","(41.1754638, -73.84408739999999)"
"(32.7270242, -117.2443204)","(32.7386226, -117.2292628)"
"(32.7270242, -117.2443204)","(34.4266988, -119.7037549)"
"(32.7270242, -117.2443204)","(32.7214587, -117.2392517)"
"(32.7270242, -117.2443204)","(32.7246492, -117.2364626)"
"(32.7691262, -117.058666)","(40.6264805, -73.99921549999999)"
"(44.9509577, -93.09771669999999)","(32.7219608, -117.1709678)"
"(44.9509577, -93.09771669999999)","(29.6500493, -82.3298883)"
"(32.7504209, -117.0560481)","(33.2340037, -117.2178939)"
"(32.7504209, -117.0560481)","(32.7549136, -117.054656)"
"(42.7140079, -73.82877409999999)","(42.19899789999999, -71.1641868)"
"(32.7004597, -117.1452449)","(32.7093836, -117.1628654)"
"(32.7004597, -117.1452449)","(33.7475595, -117.8676075)"
"(32.7004597, -117.1452449)","(42.8942598, -88.2751554)"
"(32.7004597, -117.1452449)","(40.7849921, -122.3083332)"
"(32.8254027, -117.1716501)","(32.830824, -117.1756955)"
"(32.8254027, -117.1716501)","(32.8263486, -117.1728971)"
0,0
"(32.8621796, -117.2289074)","(32.8678866, -117.2247315)"
"(32.8621796, -117.2289074)","(32.857896, -117.2290337)"
"(32.82518, -117.182663)","(32.8406331, -117.1970729)"
"(32.82518, -117.182663)","(32.826099, -117.182587)"
"(32.7386226, -117.2292628)","(32.7270242, -117.2443204)"
"(32.7386226, -117.2292628)","(42.3035181, -83.2615414)"
"(32.7386226, -117.2292628)","(41.1754638, -73.84408739999999)"
"(32.7386226, -117.2292628)","(32.73960539999999, -117.2315293)"
"(32.7386226, -117.2292628)","(32.7441429, -117.2350978)"
0,0
"(32.798227, -117.1507997)","(35.8174597, -78.5658067)"
"(32.7381982, -117.0859372)","(38.9145017, -94.3636547)"
"(32.7384871, -117.1107655)","(41.5652812, -81.5392492)"
0,0
"(32.8108193, -117.2009254)","(32.8324457, -117.1270939)"
"(32.8108193, -117.2009254)","(32.83610609999999, -117.2086926)"
"(32.8108193, -117.2009254)","(32.8328837, -117.1465924)"
"(32.8108193, -117.2009254)","(32.8214003, -117.1641589)"
"(32.8108193, -117.2009254)","(32.787123, -117.1910475)"
"(32.8108193, -117.2009254)","(32.7881164, -117.203695)"
"(32.8108193, -117.2009254)","(32.7942808, -117.2072706)"
"(32.8108193, -117.2009254)","(40.7849921, -122.3083332)"
"(32.8328837, -117.1465924)","(32.8319436, -117.2177934)"
"(32.8328837, -117.1465924)","(32.8197687, -117.2126882)"
"(32.8328837, -117.1465924)","(32.8108193, -117.2009254)"
"(32.8328837, -117.1465924)","(32.829957, -117.1988177)"
"(32.8328837, -117.1465924)","(32.8406331, -117.1970729)"
"(32.8328837, -117.1465924)","(32.8369138, -117.1870547)"
"(32.8328837, -117.1465924)","(32.8352318, -117.1787244)"
"(32.8328837, -117.1465924)","(32.7339276, -117.1129323)"
"(32.8328837, -117.1465924)","(32.8317423, -117.1638222)"
