Primary Street,1st Cross Street,2nd Cross Street,Co1,Co2,2011,2012,2013,2014,2015
SANTA BARBARA ST,POINT LOMA AVE,CATALINA BLVD,"(32.7320556, -117.2479171)","(32.7320556, -117.2479171)",1800,1800,1800,1700,1700
SANTA FE ST,GARNET AVE,DAMON AVE,"(32.8069556, -117.2151708)","(32.8069556, -117.2151708)",2400,2400,2400,2400,2500
SANTA FE ST,DAMON AVE,NORTH END,"(32.8099669, -117.2168597)","(32.8099669, -117.2168597)",4000,4000,4200,3800,3800
SANTA MONICA AVE,BACON ST,SUNSET CLIFFS BLVD,"(32.7477266, -117.2503311)","(32.7477266, -117.2503311)",5600,5600,5600,5600,5600
SANTO RD,ROUTE 52,ANTIGUA BLVD,"(32.8410367, -117.0954395)","(32.8410367, -117.0954395)",16500,16500,16500,19000,19000
SANTO RD,ANTIGUA BLVD,CLAIREMONT MESA BLVD,"(32.8336854, -117.1011142)","(32.8336854, -117.1011142)",13700,13700,13700,13700,12400
SANTO RD,CLAIREMONT MESA BLVD,TIERRASANTA BLVD,"(32.82937700000001, -117.1034486)","(32.82937700000001, -117.1034486)",11000,11000,11000,11500,9800
SANTO RD,TIERRASANTA BLVD,SHIELDS ST,"(32.823412, -117.1041581)","(32.823412, -117.1041581)",7900,7900,7900,7900,7900
SANTO RD,SHIELDS ST,AERO DR,"(32.8160723, -117.1050508)","(32.8160723, -117.1050508)",8600,8100,8100,8100,8100
SANTO RD,AERO DR,SCULPIN ST,"(32.8097639, -117.1053942)","(32.8097639, -117.1053942)",6400,6400,6400,6400,6400
SANTO RD,ADMIRAL BAKER RD,FRIARS RD,"(32.7913174, -117.1054106)","(32.7913174, -117.1054106)",12400,11100,11100,11100,11100
SANYO AVE,OTAY MESA RD,AIRWAY RD,"(32.5675122, -116.9407611)","(32.5675122, -116.9407611)",5300,5700,5700,5700,5700
SATELLITE BLVD,THERMAL AVE,STANDLAKE ST,"(32.5691643, -117.0970948)","(32.5691643, -117.0970948)",5400,5400,5400,5300,5300
SATELLITE BLVD,STANDLAKE ST,SATURN BLVD,"(32.5691531, -117.0937853)","(32.5691531, -117.0937853)",5600,5500,5500,5500,5500
SATURN BLVD,BOUNDARY AVE,DORIS ST,"(32.5875325, -117.0926578)","(32.5875325, -117.0926578)",22100,22100,22100,22100,22100
SATURN BLVD,DORIS ST,PALM AVE,"(32.5850938, -117.0927131)","(32.5850938, -117.0927131)",24600,23400,23400,19800,25100
SATURN BLVD,PALM AVE,ELM AVE,"(32.5837656, -117.0927213)","(32.5837656, -117.0927213)",17200,19000,19000,19000,17000
SATURN BLVD,ELM AVE,CORONADO AVE,"(32.5806379, -117.0926795)","(32.5806379, -117.0926795)",13900,13900,13900,12500,12500
SATURN BLVD,CORONADO AVE,LEON AVE,"(32.5764371, -117.0928404)","(32.5764371, -117.0928404)",9500,9500,9500,9500,9500
SATURN BLVD,LEON AVE,SUNSET AVE,"(32.5663795, -117.0927772)","(32.5663795, -117.0927772)",1400,1400,1400,1400,1400
SCIENCE PARK RD,NORTH TORREY PINES RD,TORREYANA RD,"(32.9016477, -117.2427839)","(32.9016477, -117.2427839)",4800,4800,4800,4800,4800
SCOTT ST,TALBOT ST,CANON ST,"(32.7196785, -117.2318538)","(32.7196785, -117.2318538)",4300,4300,2800,2800,2800
SCOTT ST,CANON ST,SHELTER ISLAND DR,"(32.7208684, -117.2308518)","(32.7208684, -117.2308518)",7800,7800,5400,5400,5400
SCOTT ST,SHELTER ISLAND DR,NORTH HARBOR DR,"(32.7219557, -117.2299398)","(32.7219557, -117.2299398)",13300,12000,12000,14300,13800
SCRANTON RD,BARNES CANYON RD,MIRA MESA BLVD,"(32.8987868, -117.2025187)","(32.8987868, -117.2025187)",14600,14600,14600,20100,16900
SCRANTON RD,MIRA MESA BLVD,CARROLL CANYON RD,"(32.8925467, -117.2016116)","(32.8925467, -117.2016116)",13800,16700,16700,8800,8800
SCRIPPS LAKE DR,SCRIPPS RANCH BLVD,RED CEDAR DR,"(32.9116095, -117.1099366)","(32.9116095, -117.1099366)",10200,10300,10300,10300,10800
SCRIPPS LAKE DR,RED CEDAR DR,TIMBERLAKE DR,"(32.9115162, -117.099099)","(32.9115162, -117.099099)",11400,11400,11400,11400,11400
SCRIPPS POWAY PKWY,INTERSTATE 15,SPRING CANYON RD,"(32.9339357, -117.1126966)","(32.9339357, -117.1126966)",46200,46200,44500,36100,36100
SCRIPPS POWAY PKWY,SPRING CANYON RD,E. CITY LIMITS,"(32.9365608, -117.0962603)","(32.9365608, -117.0962603)",36600,36600,30100,30100,30100
SCRIPPS RANCH BLVD,MIRA MESA BLVD,SCRIPPS LAKE DR,"(32.9169117, -117.1114341)","(32.9169117, -117.1114341)",19600,19600,18700,18700,18700
SCRIPPS RANCH BLVD,SCRIPPS LAKE DR,CARROLL CANYON RD,"(32.9116095, -117.1099366)","(32.9116095, -117.1099366)",11500,11500,11400,11400,11400
SCRIPPS RANCH BLVD,CARROLL CANYON RD,AVIARY DR,"(32.9052029, -117.1089859)","(32.9052029, -117.1089859)",10100,10100,6900,6900,6900
SCRIPPS RANCH BLVD,AVIARY DR,POMERADO RD,"(32.9043361, -117.1005003)","(32.9043361, -117.1005003)",5500,5500,5500,5300,5000
SCRIPPS TRAIL,AVENIDA MAGNIFICA,TIMBERLAKE DR,"(32.9103961, -117.0814938)","(32.9103961, -117.0814938)",3500,3500,3500,3600,3600
SCRIPPS TRAIL,TIMBERLAKE DR,SEMILLON BLVD,"(32.9162277, -117.0791289)","(32.9162277, -117.0791289)",3800,3800,3800,3500,3500
SEA WORLD DR,WEST MISSION BAY DR,SEA WORLD WAY,"(32.7615533, -117.2320493)","(32.7615533, -117.2320493)",44800,30200,30200,30200,38300
SEA WORLD DR,SEA WORLD WAY,FRIARS RD,"(32.7612317, -117.224149)","(32.7612317, -117.224149)",32200,21100,21100,21100,21100
SEA WORLD DR,FRIARS RD,PACIFIC HWY,"(32.763422, -117.2095979)","(32.763422, -117.2095979)",25500,25500,25500,25500,28200
SEA WORLD DR,PACIFIC HWY,INTERSTATE 5,"(32.7671957, -117.2086168)","(32.7671957, -117.2086168)",28300,28300,28300,28300,27000
SEA WORLD WAY,SEA WORLD DR,TO THE NORTH,"(32.7612317, -117.224149)","(32.7612317, -117.224149)",3300,3300,3300,3300,3300
SEMILLON BLVD,SPRING CANYON RD,POMERADO RD,"(32.92317269999999, -117.0761625)","(32.92317269999999, -117.0761625)",3500,3500,3300,3300,3300
SEMILLON BLVD,POMERADO RD,FAIRBROOK RD,"(32.9153836, -117.0705556)","(32.9153836, -117.0705556)",3800,3800,3300,3300,3300
SHAWLINE ST,CONVOY CT,CLAIREMONT MESA BLVD,"(32.8346776, -117.1638792)","(32.8346776, -117.1638792)",13300,12300,14200,14200,13500
SHAWLINE ST,CLAIREMONT MESA BLVD,RONSON RD,"(32.832566, -117.1638388)","(32.832566, -117.1638388)",10600,8400,8400,14200,18000
SHELTER ISLAND DR,ROSECRANS ST,SCOTT ST,"(32.7225735, -117.2309505)","(32.7225735, -117.2309505)",10400,10400,6100,6100,6100
SHELTER ISLAND DR,SCOTT ST,SHELTER ISLAND DR (CIR),"(32.7219557, -117.2299398)","(32.7219557, -117.2299398)",14200,14200,14200,14200,14200
SHELTER ISLAND DR,SOUTHWEST END,SHELTER ISLAND DR (CIR),"(32.71424450000001, -117.2260572)","(32.71424450000001, -117.2260572)",5300,5300,5300,5300,5300
SHELTER ISLAND DR,SHELTER ISLAND DR (CIR),NORTHEAST END,"(32.71424450000001, -117.2260572)","(32.71424450000001, -117.2260572)",9600,9600,5200,5200,5200
SHERMAN ST,MORENA BLVD,SOUTH END,"(32.7657516, -117.1983687)","(32.7657516, -117.1983687)",5600,5600,5600,4900,4900
SHOAL CREEK DR,TED WILLIAMS PKWY,STONEY GATE PL,"(32.9696845, -117.0813626)","(32.9696845, -117.0813626)",4900,4900,4900,5700,5700
SHOAL CREEK DR,STONEY GATE PL,RANCHO CARMEL DR,"(32.9701482, -117.0819623)","(32.9701482, -117.0819623)",5200,5200,5200,2400,2400
SIEMPRE VIVA RD,CACTUS RD,BRITANNIA BLVD,"(32.553539, -116.988503)","(32.553539, -116.988503)",2100,2200,2200,2200,2200
SIEMPRE VIVA RD,BRITANNIA BLVD,LA MEDIA RD,"(32.5534025, -116.9799417)","(32.5534025, -116.9799417)",400,400,400,3700,3700
SIEMPRE VIVA RD,LA MEDIA RD,AVENIDA COSTA BRAVA,"(32.5533891, -116.9624968)","(32.5533891, -116.9624968)",4400,6500,6500,5700,5700
SIEMPRE VIVA RD,AVENIDA COSTA BRAVA,HARVEST RD,"(32.5533247, -116.9574711)","(32.5533247, -116.9574711)",4800,4800,4800,8600,8600
SIEMPRE VIVA RD,HARVEST RD,OTAY CENTER DR,"(32.5531224, -116.9452794)","(32.5531224, -116.9452794)",4800,4800,4800,13500,13500
SIEMPRE VIVA RD,OTAY CENTER DR,RT 905/PASEO INTERN'L,"(32.5540604, -116.9424315)","(32.5540604, -116.9424315)",15800,16900,16900,16900,16500
SIEMPRE VIVA RD,PASEO DE LAS AMERICAS,ENRICO FERMI DR,"(32.5569045, -116.9360331)","(32.5569045, -116.9360331)",5700,5800,5800,5800,11200
SKYLINE DR,58TH ST,61ST ST,"(32.701489, -117.0732298)","(32.701489, -117.0732298)",8700,8700,6200,6200,6200
SKYLINE DR,61ST ST,69TH ST,"(32.7014259, -117.0668414)","(32.7014259, -117.0668414)",12100,12100,11200,12700,12700
SKYLINE DR,69TH ST,SYCHAR RD,"(32.7026756, -117.048822)","(32.7026756, -117.048822)",14300,14300,14300,10600,10600
SKYLINE DR,SYCHAR RD,MEADOWBROOK DR,"(32.7033694, -117.0429026)","(32.7033694, -117.0429026)",7000,7000,7000,7000,7000
SKYLINE DR,MEADOWBROOK DR,CARDIFF ST,"(32.7026022, -117.0307739)","(32.7026022, -117.0307739)",5600,5200,5200,5200,9800
SOLEDAD MOUNTAIN RD,LA JOLLA SCENIC DR (S),SOLEDAD RD,"(32.835017, -117.248827)","(32.835017, -117.248827)",9500,9500,11900,11900,11900
SOLEDAD MOUNTAIN RD,SOLEDAD RD,BERYL ST,"(32.8267408, -117.2408452)","(32.8267408, -117.2408452)",9100,10100,11900,11900,12700
SOLEDAD MOUNTAIN RD,BERYL ST,GARNET AVE,"(32.8091274, -117.2300308)","(32.8091274, -117.2300308)",19500,19500,26200,26200,26200
SOLEDAD RD,SOLEDAD MOUNTAIN RD,ALTA LA JOLLA DR,"(32.8267408, -117.2408452)","(32.8267408, -117.2408452)",2400,2400,2400,2400,2400
SOLEDAD RD,ALTA LA JOLLA DR,LAMONT ST/LORING ST,"(32.818256, -117.241386)","(32.818256, -117.241386)",3900,3900,3600,3600,5700
SORRENTO VALLEY BLVD,ROSELLE ST,SORRENTO VALLEY RD,"(32.900805, -117.223897)","(32.900805, -117.223897)",24000,23300,23300,23300,23300
SORRENTO VALLEY BLVD,SORRENTO VALLEY RD,VISTA SORRENTO PKWY,"(32.9013168, -117.2231834)","(32.9013168, -117.2231834)",16500,17100,17100,17100,18700
SORRENTO VALLEY BLVD,VISTA SORRENTO PKWY,LOPEZ CANYON PARK RD,"(32.9024762, -117.2213975)","(32.9024762, -117.2213975)",12400,17600,17600,17600,13300
SORRENTO VALLEY BLVD,LOPEZ CANYON PARK RD,CAMINO SANTA FE,"(32.9177217, -117.1758917)","(32.9177217, -117.1758917)",11700,11700,11700,14200,15300
SORRENTO VALLEY RD,CARMEL MOUNTIAN RD,SORRENTO VALLEY BLVD,"(32.9162893, -117.2371399)","(32.9162893, -117.2371399)",7500,8200,8200,8200,13100
SORRENTO VALLEY RD,SORRENTO VALLEY BLVD,INTERSTATE 805,"(32.9013168, -117.2231834)","(32.9013168, -117.2231834)",12100,11900,11900,11900,14100
SPORTS ARENA BLVD,INTERSTATE 8,MIDWAY DR,"(32.7576117, -117.2195233)","(32.7576117, -117.2195233)",31200,31600,30500,30500,32900
SPORTS ARENA BLVD,MIDWAY DR,KEMPER ST,"(32.7548689, -117.2194846)","(32.7548689, -117.2194846)",20400,20400,17300,18400,18400
SPORTS ARENA BLVD,KEMPER ST,ROSECRANS ST,"(32.7541112, -117.2137637)","(32.7541112, -117.2137637)",26800,26800,26800,19500,19500
SPORTS ARENA BLVD,ROSECRANS ST,PACIFIC HWY,"(32.7515847, -117.2049385)","(32.7515847, -117.2049385)",2100,2100,2100,1500,1500
SPRING CANYON RD,SCRIPPS POWAY PKWY,SCRIPPS CREEK RD,"(32.9365608, -117.0962603)","(32.9365608, -117.0962603)",10500,11000,11000,12100,13700
SPRING CANYON RD,SCRIPPS CREEK RD,BLUE CYPRESS DR,"(32.9251411, -117.0892793)","(32.9251411, -117.0892793)",12000,12100,12700,12700,14000
SPRING CANYON RD,BLUE CYPRESS DR,SEMILLON BLVD,"(32.9233138, -117.077159)","(32.9233138, -117.077159)",11600,11600,11600,12000,12000
SPRING CANYON RD,SEMILLON BLVD,POMERADO RD,"(32.92317269999999, -117.0761625)","(32.92317269999999, -117.0761625)",8100,8900,9000,9900,9300
SPRINGHURST RD,POWAY RD,SABRE SPRINGS PKWY,"(32.9469527, -117.0782323)","(32.9469527, -117.0782323)",3700,3700,3800,3800,3800
SPRINGHURST RD,SABRE SPRINGS PKWY,SPRINGBROOK DR,"(32.9459261, -117.077104)","(32.9459261, -117.077104)",4300,4300,4300,2400,2400
STALMER ST,ASHFORD ST,ATLAS ST,"(32.808489, -117.1548528)","(32.808489, -117.1548528)",7000,8100,8100,5100,5100
STALMER ST,ATLAS ST,LINDA VISTA RD,"(32.8077426, -117.1582193)","(32.8077426, -117.1582193)",6700,6700,6700,6700,6700
STARLING DR,HEALTH CENTER DR,MEADOWLARK DR,"(32.7926593, -117.1563583)","(32.7926593, -117.1563583)",10100,8900,8900,8900,9600
STATE ST,LAUREL ST,JUNIPER ST,"(32.7308404, -117.1694694)","(32.7308404, -117.1694694)",4100,4100,4100,4400,4400
STATE ST,JUNIPER ST,HAWTHORN ST,"(32.7288729, -117.1687019)","(32.7288729, -117.1687019)",2400,2400,2000,2000,2000
STATE ST,HAWTHORN ST,GRAPE ST,"(32.7268346, -117.16803)","(32.7268346, -117.16803)",1500,1500,1500,1500,1500
STATE ST,GRAPE ST,ASH ST,"(32.7259128, -117.1673339)","(32.7259128, -117.1673339)",3000,3000,3000,3000,3000
STATE ST,ASH ST,A ST,"(32.7198661, -117.1664962)","(32.7198661, -117.1664962)",2400,2400,2400,3600,3600
STATE ST,A ST,BROADWAY,"(32.7188086, -117.1664926)","(32.7188086, -117.1664926)",2500,2900,2900,2900,2900
STATE ST,BROADWAY,F ST,"(32.7157757, -117.166518)","(32.7157757, -117.166518)",2800,2800,2800,2800,2800
STATE ST,F ST,G ST,"(32.7135861, -117.1665072)","(32.7135861, -117.1665072)",1700,1700,1700,2500,2500
STATE ST,G ST,MARKET ST,"(32.7125526, -117.1665072)","(32.7125526, -117.1665072)",1200,1200,1200,1500,1500
STONECREST BLVD,DALEY CENTER DR,MURPHY CANYON RD,"(32.8027304, -117.1167504)","(32.8027304, -117.1167504)",7300,7300,7300,5900,5900
STONEY PEAK DR,CARMEL MOUNTAIN RD,SEABRIDGE LANE,"(32.9804253, -117.0782673)","(32.9804253, -117.0782673)",6800,6800,6800,7400,7400
STREAMVIEW DR,54TH ST,COLLEGE AVE,"(32.7431969, -117.0796127)","(32.7431969, -117.0796127)",3600,3600,3200,4200,7500
STRESEMANN ST,ARNOLDSON AVE,GOVERNOR DR,"(32.85186729999999, -117.2246545)","(32.85186729999999, -117.2246545)",2800,2800,2800,2000,2000
STRESEMANN ST,GOVERNOR DR,PENNANT WAY,"(32.8499712, -117.2225747)","(32.8499712, -117.2225747)",2800,2800,2800,3900,3900
SUNSET BLVD/RD,JUAN ST,FORT STOCKTON DR,"(32.7510694, -117.189346)","(32.7510694, -117.189346)",2600,2600,2600,2600,1600
SUNSET CLIFFS BLVD,WEST MISSION BAY DR,NIMITZ BLVD/I-8,"(32.7615533, -117.2320493)","(32.7615533, -117.2320493)",25200,24200,24200,30400,31100
SUNSET CLIFFS BLVD,NIMITZ BLVD/I-8,WEST POINT LOMA BLVD,"(32.7544664, -117.2362507)","(32.7544664, -117.2362507)",33700,35100,35100,33500,33500
SUNSET CLIFFS BLVD,WEST POINT LOMA BLVD,VOLTAIRE ST,"(32.7509836, -117.2423261)","(32.7509836, -117.2423261)",21800,23000,24200,24200,22500
SUNSET CLIFFS BLVD,VOLTAIRE ST,NEWPORT AVE,"(32.7499155, -117.2431725)","(32.7499155, -117.2431725)",21400,21400,21400,18400,18400
SUNSET CLIFFS BLVD,NEWPORT AVE,NARRAGANSETT AVE,"(32.7447325, -117.2476001)","(32.7447325, -117.2476001)",12600,12600,13600,13000,13000
SUNSET CLIFFS BLVD,NARRAGANSETT AVE,POINT LOMA AVE,"(32.7430483, -117.2490491)","(32.7430483, -117.2490491)",14700,14700,14700,10200,10200
SUNSET CLIFFS BLVD,POINT LOMA AVE,CORDOVA ST,"(32.7363006, -117.2548669)","(32.7363006, -117.2548669)",4400,4400,4400,5100,5100
SUNSET CLIFFS BLVD,CORDOVA ST,HILL ST,"(32.7272493, -117.2553853)","(32.7272493, -117.2553853)",5400,5400,2800,2800,2800
SWIFT AVE,UNIVERSITY AVE,WIGHTMAN ST,"(32.7497713, -117.1192948)","(32.7497713, -117.1192948)",5400,5400,5400,6000,6000
SWIFT AVE,WIGHTMAN ST,LANDIS ST,"(32.7478998, -117.1193188)","(32.7478998, -117.1193188)",6800,6800,6800,6800,6800
SYCHAR RD,69TH ST,SKYLINE DR,"(32.7055649, -117.0485658)","(32.7055649, -117.0485658)",2700,2700,2800,2800,2800
TAIT ST,BURTON ST,COOLIDGE ST,"(32.7807176, -117.1721551)","(32.7807176, -117.1721551)",3400,3400,3400,3400,4500
TALBOT ST,CATALINA BLVD,CANON ST,"(32.7226745, -117.2454762)","(32.7226745, -117.2454762)",4800,4800,4400,4400,4800
TALBOT ST,CANON ST,ROSECRANS ST,"(32.7222922, -117.2436554)","(32.7222922, -117.2436554)",6000,6000,6000,8700,4700
TALBOT ST,ROSECRANS ST,SCOTT ST,"(32.7202473, -117.2328465)","(32.7202473, -117.2328465)",4700,4700,5000,5000,5000
TAYLOR ST,PACIFIC HWY,CONGRESS ST,"(32.755467, -117.201201)","(32.755467, -117.201201)",20200,20200,20200,19500,19500
TAYLOR ST,CONGRESS ST,JUAN ST,"(32.7556728, -117.1995951)","(32.7556728, -117.1995951)",13600,17100,17100,17100,18300
TAYLOR ST,JUAN ST,MORENA BLVD,"(32.7567715, -117.1986173)","(32.7567715, -117.1986173)",17500,17500,18600,18600,18600
TAYLOR ST,MORENA BLVD,INTERSTATE 8 RAMPS,"(32.7583934, -117.1972671)","(32.7583934, -117.1972671)",13100,15500,15500,14900,15300
TAYLOR ST,INTERSTATE 8 RAMPS,HOTEL CIRCLE SOUTH,"(32.7593307, -117.1902466)","(32.7593307, -117.1902466)",14600,14600,14600,14600,14600
TECOLOTE RD,MORENA BLVD,INTERSTATE 5,"(32.7726124, -117.2027434)","(32.7726124, -117.2027434)",22700,21800,21800,21600,21100
TED WILLIAMS PKWY,INTERSTATE 15,SABRE SPRG/RHO CARMEL DR,"(32.9675284, -117.0941038)","(32.9675284, -117.0941038)",32100,32100,32100,35300,35300
TEXAS ST,INTERSTATE 8,CAMINO DEL RIO SOUTH,"(32.7699146, -117.1362688)","(32.7699146, -117.1362688)",29600,30100,30100,30100,33200
TEXAS ST,CAMINO DEL RIO SOUTH,ADAMS AVE,"(32.7673529, -117.1392243)","(32.7673529, -117.1392243)",26100,26100,26100,26100,26100
TEXAS ST,MADISON,EL CAJON BLVD,"(32.7609866, -117.1389136)","(32.7609866, -117.1389136)",25900,15600,15600,15600,15700
TEXAS ST,EL CAJON BLVD,HOWARD AVE,"(32.7552129, -117.1388452)","(32.7552129, -117.1388452)",11000,11000,11000,11000,12000
TEXAS ST,HOWARD AVE,UNIVERSITY AVE,"(32.7540562, -117.1388397)","(32.7540562, -117.1388397)",8000,8000,8000,6600,6600
TEXAS ST,UNIVERSITY AVE,UPAS ST,"(32.7484507, -117.1388022)","(32.7484507, -117.1388022)",3700,4000,4000,4000,3200
THERMAL AVE,CORONADO AVE,FERN AVE,"(32.5764748, -117.0970937)","(32.5764748, -117.0970937)",3400,3400,3400,3400,3000
THORN ST,32ND ST,BOUNDARY ST,"(32.7392507, -117.1250348)","(32.7392507, -117.1250348)",1900,1900,1900,1900,1900
THORN ST,BOUNDARY ST,NILE ST,"(32.7398514, -117.120209)","(32.7398514, -117.120209)",2200,2200,2200,3200,3200
TIERRASANTA BLVD,INTERSTATE 15,SANTO RD,"(32.8189333, -117.1151857)","(32.8189333, -117.1151857)",22500,22200,22200,22200,22700
TIERRASANTA BLVD,SANTO RD,LA CUENTA DR,"(32.823412, -117.1041581)","(32.823412, -117.1041581)",20300,20300,20300,21600,23900
TIERRASANTA BLVD,LA CUENTA DR,TAMBOR,"(32.8212808, -117.0978956)","(32.8212808, -117.0978956)",10300,10300,10900,10900,10900
TIERRASANTA BLVD,TAMBOR DR,COLINA DORADO,"(32.8176773, -117.090858)","(32.8176773, -117.090858)",5000,5000,5000,5000,5000
TIMBERLAKE DR,SCRIPPS LAKE DR,SCRIPPS TRAIL,"(32.9133902, -117.0880074)","(32.9133902, -117.0880074)",2400,2400,2400,3400,3400
TOCAYO AVE,HOLLISTER ST,ORO VISTA RD,"(32.5639276, -117.0840074)","(32.5639276, -117.0840074)",11300,11500,11500,11500,11500
TONAWANDA DR,REO DR (W),PARKSIDE AVE/REO DR (E),"(32.6659422, -117.0579504)","(32.6659422, -117.0579504)",12300,12300,11000,11000,11000
TORREY PINES RD,LA JOLLA VILLAGE DR,LA JOLLA PKWY,"(32.8703028, -117.2423004)","(32.8703028, -117.2423004)",22000,23100,23100,23100,23800
TORREY PINES RD,LA JOLLA PKWY,LA JOLLA SHORES DR,"(32.8501569, -117.2515517)","(32.8501569, -117.2515517)",50800,50800,50800,50800,27200
TORREY PINES RD,LA JOLLA SHORES DR,CALLE DE LA PLATA,"(32.8505015, -117.2550034)","(32.8505015, -117.2550034)",55100,55100,55100,55100,55100
TORREY PINES RD,CALLE DE LA PLATA,PROSPECT PL,"(32.8501001, -117.2558394)","(32.8501001, -117.2558394)",52900,52900,53300,53300,48500
TORREY PINES RD,PROSPECT PL,EXCHANGE PL,"(32.8471926, -117.2673828)","(32.8471926, -117.2673828)",38000,38000,36600,36600,34700
TORREY PINES RD,EXCHANGE PL,GIRARD AVE,"(32.845985, -117.268646)","(32.845985, -117.268646)",39100,39100,39100,39100,39100
TOWNE CENTRE DR,TOWNE CENTRE CT,EASTGATE MALL,"(32.8850824, -117.2113354)","(32.8850824, -117.2113354)",8400,8400,5700,5700,5700
TOWNE CENTRE DR,EASTGATE MALL,LA JOLLA VILLAGE DR,"(32.879191, -117.2078417)","(32.879191, -117.2078417)",15200,15200,15200,12400,15700
TOWNE CENTRE DR,LA JOLLA VILLAGE DR,GOLDEN HAVEN DR,"(32.8741084, -117.2073531)","(32.8741084, -117.2073531)",18500,18500,18500,19800,19800
TOWNE CENTRE DR,GOLDEN HAVEN DR,NOBEL DR,"(32.8699533, -117.2070846)","(32.8699533, -117.2070846)",11700,11700,11700,8900,11900
TOWNSGATE DR,EL CAMINO REAL,CARMEL COUNTRY RD,"(32.94955780000001, -117.2358391)","(32.94955780000001, -117.2358391)",4400,4400,4400,4400,4400
TRADE ST,CAMINO SANTA FE,CARROLL WY,"(32.8886135, -117.1676222)","(32.8886135, -117.1676222)",5400,5400,4900,4900,4900
TRADE ST,CARROLL WY,KENAMAR DR,"(32.889084, -117.158997)","(32.889084, -117.158997)",4800,4800,5000,5000,5000
TRINIDAD WAY,EUCLID AVE,58TH ST,"(32.7000348, -117.0851816)","(32.7000348, -117.0851816)",2700,2700,2400,2400,2400
TURQUOISE ST,FANUEL ST,CASS ST,"(32.8105918, -117.2500241)","(32.8105918, -117.2500241)",13500,13500,13600,13600,13600
TURQUOISE ST,CASS ST,MISSION BLVD,"(32.80942590000001, -117.2555185)","(32.80942590000001, -117.2555185)",12700,12700,12700,13500,14100
TURQUOISE ST,MISSION BLVD,LA JOLLA BLVD,"(32.808635, -117.2592677)","(32.808635, -117.2592677)",7200,7200,7200,7200,7300
TWAIN AVE,FAIRMOUNT AVE,MISSION GORGE RD,"(32.785023, -117.101517)","(32.785023, -117.101517)",5400,5400,5400,5400,5400
TWAIN AVE/50TH ST,MISSION GORGE RD,ORCUTT AVE,"(32.7851234, -117.0989872)","(32.7851234, -117.0989872)",2700,2700,2700,2700,1100
TWIGGS ST,JUAN ST,CONGRESS ST,"(32.7544858, -117.1948639)","(32.7544858, -117.1948639)",2100,2100,2100,2100,2100
TWIN TRAILS DR,CARMEL MOUNTAIN RD,SUNDANCE AVE,"(32.96346620000001, -117.133992)","(32.96346620000001, -117.133992)",7400,7400,5400,5400,5400
TWIN TRAILS DR,SUNDANCE AVE,BLACK MOUNTAIN RD,"(32.9586446, -117.1317444)","(32.9586446, -117.1317444)",2200,2200,2200,2200,2200
TWIN TRAILS DR,BLACK MOUNTAIN RD,FAIRGROVE LN,"(32.9574134, -117.1285501)","(32.9574134, -117.1285501)",4900,4900,4900,6300,6300
TWINING AVE,PALM AVE,DEL SOL BLVD,"(32.5837058, -117.0454109)","(32.5837058, -117.0454109)",900,900,1200,1200,1200
ULRIC ST,OSLER ST,LINDA VISTA RD,"(32.7926457, -117.1729209)","(32.7926457, -117.1729209)",5400,5400,5400,5800,6100
ULRIC ST,LINDA VISTA RD,COMSTOCK ST,"(32.786482, -117.1702141)","(32.786482, -117.1702141)",8200,8200,8900,8900,8900
ULRIC ST,COMSTOCK ST,FRIARS RD,"(32.7829383, -117.1697321)","(32.7829383, -117.1697321)",19200,19500,19500,19500,15800
UNIVERSITY AVE,WASHINGTON ST,GOLDFINCH ST,"(32.7489182, -117.17378)","(32.7489182, -117.17378)",9400,9400,8900,8900,8900
UNIVERSITY AVE,GOLDFINCH ST,1ST AVE,"(32.7489429, -117.1713706)","(32.7489429, -117.1713706)",12200,10500,10500,10500,11100
UNIVERSITY AVE,1ST AVE,4TH AVE,"(32.7482407, -117.163909)","(32.7482407, -117.163909)",13900,13900,10100,10100,10100
UNIVERSITY AVE,4TH AVE,5TH AVE,"(32.7482533, -117.1616255)","(32.7482533, -117.1616255)",18700,18700,18700,17800,17800
UNIVERSITY AVE,5TH AVE,6TH AVE,"(32.7482624, -117.1604481)","(32.7482624, -117.1604481)",28300,29000,29000,21100,14800
UNIVERSITY AVE,6TH AVE,ROUTE 163,"(32.7483346, -117.15952)","(32.7483346, -117.15952)",25100,25300,21200,21200,25800
UNIVERSITY AVE,ROUTE 163,RICHMOND ST,"(32.751616, -117.0673108)","(32.751616, -117.0673108)",23500,22000,22000,20000,18800
UNIVERSITY AVE,RICHMOND ST,PARK BLVD,"(32.7485687, -117.1512519)","(32.7485687, -117.1512519)",20700,20700,18800,18200,18200
UNIVERSITY AVE,PARK BLVD,FLORIDA ST,"(32.7484173, -117.1462353)","(32.7484173, -117.1462353)",20100,20100,20100,18600,18600
UNIVERSITY AVE,FLORIDA ST,TEXAS ST,"(32.7484214, -117.1437388)","(32.7484214, -117.1437388)",20300,19100,15800,15800,16300
UNIVERSITY AVE,TEXAS ST,UTAH ST,"(32.7484507, -117.1388022)","(32.7484507, -117.1388022)",19000,19000,19000,19000,19000
UNIVERSITY AVE,UTAH ST,30TH ST,"(32.7484529, -117.132801)","(32.7484529, -117.132801)",19700,19700,17800,17800,17800
