Primary Street,1st Cross Street,2nd Cross Street,Co1,Co2,2011,2012,2013,2014,2015
B ST,16TH ST,INTERSTATE 5,"(32.7178613, -117.149528)","(32.7178613, -117.149528)",13500,13500,8600,8600,8600
B ST,INTERSTATE 5,25TH ST,"(32.7201664, -117.1457399)","(32.7201664, -117.1457399)",4500,4500,4500,5100,5100
B ST,25TH ST,26TH ST,"(32.7179067, -117.1403009)","(32.7179067, -117.1403009)",6900,6900,6900,6900,6900
B ST,26TH ST,28TH ST,"(32.7179189, -117.1382041)","(32.7179189, -117.1382041)",5800,5400,5400,5400,5700
B ST,28TH ST,30TH ST,"(32.7179417, -117.133813)","(32.7179417, -117.133813)",3100,3100,2800,2800,2800
BACON ST,WEST POINT LOMA BLVD,VOLTAIRE ST,"(32.7533332, -117.2455319)","(32.7533332, -117.2455319)",6200,6200,6200,6500,6500
BACON ST,VOLTAIRE ST,NEWPORT AVE,"(32.75204420000001, -117.2466218)","(32.75204420000001, -117.2466218)",6400,6300,6300,6300,6800
BACON ST,NEWPORT AVE,NARRAGANSETT AVE,"(32.7468683, -117.2510786)","(32.7468683, -117.2510786)",4800,4800,4600,4600,4600
BAJA DR,CAMPANILE DR,54TH ST,"(32.7663265, -117.0717295)","(32.7663265, -117.0717295)",3500,3500,3500,1000,1000
BALBOA ARMS DR,DERRICK DR,MT ABERNATHY AVE,"(32.82399, -117.182983)","(32.82399, -117.182983)",4000,4000,4000,4300,4300
BALBOA AVE,GRAND AVE,GARNET AVE,"(32.7993994, -117.2342261)","(32.7993994, -117.2342261)",13600,13600,13600,11200,13800
BALBOA AVE,INTERSTATE 5,MORENA BLVD,"(32.6958579, -117.182404)","(32.6958579, -117.182404)",29700,29700,29700,22200,22200
BALBOA AVE,MORENA BLVD,MORAGA AVE,"(32.8194038, -117.1374753)","(32.8194038, -117.1374753)",39800,40200,40200,47900,38100
BALBOA AVE,MORAGA AVE,BALBOA TER,"(32.8078409, -117.2105461)","(32.8078409, -117.2105461)",32700,32700,32700,33100,32900
BALBOA AVE,BALBOA TER,CLAIREMONT DR,"(32.8090582, -117.2076584)","(32.8090582, -117.2076584)",32600,32600,32600,31800,27300
BALBOA AVE,CLAIREMONT DR,MT CULEBRA AVE,"(32.8116846, -117.2009218)","(32.8116846, -117.2009218)",33400,33400,33400,35700,36500
BALBOA AVE,MT CULEBRA AVE,MT EVEREST BLVD,"(32.8168994, -117.1883184)","(32.8168994, -117.1883184)",33600,32000,32000,32000,34800
BALBOA AVE,MT EVEREST BLVD,GENESEE AVE,"(32.8180993, -117.1854502)","(32.8180993, -117.1854502)",33500,33500,33500,34900,33500
BALBOA AVE,GENESEE AVE,MT ABERNATHY AVE,"(32.8193015, -117.1818048)","(32.8193015, -117.1818048)",32600,32600,32600,32900,35800
BALBOA AVE,MT ABERNATHY AVE,MT RIAS PL,"(32.8203972, -117.1760758)","(32.8203972, -117.1760758)",44600,42400,42400,42400,35200
BALBOA AVE,MT RIAS PL,CHARGER BLVD,"(32.8203571, -117.1734488)","(32.8203571, -117.1734488)",38500,38500,38500,39600,50700
BALBOA AVE,CHARGER BLVD,INTERSTATE 805,"(32.8205808, -117.1671252)","(32.8205808, -117.1671252)",62500,58200,58200,58200,58000
BALBOA AVE,INTERSTATE 805,RUFFNER ST,"(32.8225284, -117.1625807)","(32.8225284, -117.1625807)",51900,45600,45600,45600,52300
BALBOA AVE,RUFFNER ST,CONVOY ST,"(32.8218334, -117.1566924)","(32.8218334, -117.1566924)",46800,42500,42500,42500,30100
BALBOA AVE,CONVOY ST,MERCURY ST,"(32.8218337, -117.1551454)","(32.8218337, -117.1551454)",30500,30400,30400,30400,33000
BALBOA AVE,MERCURY ST,ROUTE 163,"(32.8218864, -117.1488236)","(32.8218864, -117.1488236)",39900,39900,39900,24000,31600
BALBOA AVE,ROUTE 163,KEARNY VILLA RD,"(32.821448, -117.1472455)","(32.821448, -117.1472455)",47000,47000,47000,24900,30400
BALBOA AVE,KEARNY VILLA RD,RUFFIN RD,"(32.8216787, -117.1444739)","(32.8216787, -117.1444739)",23500,22600,22600,22600,24100
BALBOA AVE,RUFFIN RD,INTERSTATE 15,"(32.8222395, -117.1274783)","(32.8222395, -117.1274783)",37000,34800,34800,19400,37200
BALBOA DR,UPAS ST,QUINCE ST,"(32.740818, -117.1594298)","(32.740818, -117.1594298)",1200,1200,1200,1300,1300
BALBOA DR,QUINCE ST,EL PRADO,"(32.7366598, -117.1585654)","(32.7366598, -117.1585654)",500,500,500,1000,1000
BALBOA DR,EL PRADO,JUNIPER ST,"(32.7314102, -117.1580576)","(32.7314102, -117.1580576)",2100,2100,2100,700,700
BALBOA DR,JUNIPER ST,SO LOOP,"(32.729353, -117.1582614)","(32.729353, -117.1582614)",800,800,800,500,500
BALTIC ST,ASHFORD ST,LINDA VISTA RD,"(32.8057374, -117.1599546)","(32.8057374, -117.1599546)",1700,1700,1700,2200,2200
BALTIMORE DR,EL PASO ST,BERTRO DR,"(32.7891196, -117.0362918)","(32.7891196, -117.0362918)",9100,9100,8500,8500,8500
BANDY CANYON RD,YSABEL CREEK RD,ROUTE 78,"(33.0770905, -116.9875668)","(33.0770905, -116.9875668)",700,700,500,500,500
BARNES CANYON RD,SCRANTON RD,LUSK BLVD,"(32.8987868, -117.2025187)","(32.8987868, -117.2025187)",8600,8600,8600,9100,8800
BARNES CANYON RD,LUSK BLVD,PACIFIC HEIGHTS,"(32.9000334, -117.1957814)","(32.9000334, -117.1957814)",7600,7600,7600,8800,8200
BARNETT AVE,LYTTON ST,MIDWAY DR,"(32.7426414, -117.209587)","(32.7426414, -117.209587)",24200,27800,27800,27800,27800
BARNETT AVE,MIDWAY DR,PACIFIC HWY,"(32.745134, -117.1988037)","(32.745134, -117.1988037)",58000,58000,36800,36800,23400
BAYARD ST,FELSPAR ST,GARNET AVE,"(32.797897, -117.253952)","(32.797897, -117.253952)",6500,6500,6500,6400,6400
BEAGLE ST,ASHFORD ST,MARLESTA DR,"(32.807747, -117.1599389)","(32.807747, -117.1599389)",3500,3500,3500,4600,3800
BEECH ST,28TH ST,30TH ST,"(32.7213587, -117.1338657)","(32.7213587, -117.1338657)",1400,1400,1400,1500,1500
BERGER AVE,MESA COLLEGE DR,FROST ST,"(32.8022396, -117.1521896)","(32.8022396, -117.1521896)",6500,6500,6500,8200,8200
BERNARDO CENTER DR,W BERNARDO DR,ESCALA DR,"(33.00809, -117.0886835)","(33.00809, -117.0886835)",7600,8200,8200,8200,8200
BERNARDO CENTER DR,ESCALA DR,RANCHO BERNARDO RD,"(33.0323102, -117.0754998)","(33.0323102, -117.0754998)",18900,18900,18300,19100,19100
BERNARDO CENTER DR,RANCHO BERNARDO RD,BERNARDO HEIGHTS PKWY,"(33.0228046, -117.074418)","(33.0228046, -117.074418)",28300,28300,19400,25100,25100
BERNARDO CENTER DR,BERNARDO HEIGHTS PKWY,INTERSTATE 15,"(33.0151463, -117.0766683)","(33.0151463, -117.0766683)",23400,22900,22900,22900,25100
BERNARDO CENTER DR,INTERSTATE 15,W BERNARDO DR,"(33.0111095, -117.0793929)","(33.0111095, -117.0793929)",16300,18900,18900,19000,20000
BERNARDO CENTER DR,W BERNARDO DR,CAMINO DEL NORTE,"(33.00809, -117.0886835)","(33.00809, -117.0886835)",19400,19400,20500,20500,20500
BERNARDO HEIGHTS PKWY,BERNARDO CENTER DR,AVENIDA VENUSTO,"(33.0151463, -117.0766683)","(33.0151463, -117.0766683)",13300,13300,13700,13700,13700
BERNARDO HEIGHTS PKWY,AVENIDA VENUSTO,VIA EMBELESO,"(33.0074773, -117.0758023)","(33.0074773, -117.0758023)",10300,10300,10300,10400,12600
BERNARDO HEIGHTS PKWY,VIA EMBELESO,PASEO LUCIDO,"(33.0064664, -117.0736479)","(33.0064664, -117.0736479)",8500,8500,8500,10200,10200
BERNARDO HEIGHTS PKWY,PASEO LUCIDO,POMERADO RD,"(33.0134183, -117.0756166)","(33.0134183, -117.0756166)",11600,11600,11600,12300,12300
BERNARDO OAKS DR,FRANCISCO DR,RANCHO BERNARDO RD,"(33.0259927, -117.0679187)","(33.0259927, -117.0679187)",2600,2600,3900,1600,1600
BERNARDO OAKS DR,RANCHO BERNARDO RD,LOMICA DR,"(33.0193615, -117.0652343)","(33.0193615, -117.0652343)",1100,1100,1100,1700,1700
BERYL ST,INGRAHAM ST,LAMONT ST,"(32.8063005, -117.2429102)","(32.8063005, -117.2429102)",16500,16500,16500,20400,20400
BERYL ST,LAMONT ST,SOLEDAD MOUNTAIN RD,"(32.807529, -117.237343)","(32.807529, -117.237343)",21400,21400,21400,21100,20600
BEYER BLVD (CHULA VISTA),MAIN ST,PALM AVE,"(32.5947433, -117.0645045)","(32.5947433, -117.0645045)",14200,13200,13200,13200,13200
BEYER BLVD,PALM AVE,CORONADO AVE,"(32.5838629, -117.0711198)","(32.5838629, -117.0711198)",11500,11500,11500,11200,11600
BEYER BLVD,CORONADO AVE,DEL SOL BLVD,"(32.57684080000001, -117.0689119)","(32.57684080000001, -117.0689119)",5000,5000,5000,17000,17000
BEYER BLVD,DEL SOL BLVD,IRIS AVE,"(32.5740243, -117.0665054)","(32.5740243, -117.0665054)",13500,13500,13500,13100,13100
BEYER BLVD,IRIS AVE,ROUTE 905,"(32.5692031, -117.0636553)","(32.5692031, -117.0636553)",17600,17600,17600,18600,18600
BEYER BLVD,ROUTE 905,DAIRY MART RD,"(32.5680058, -117.0649996)","(32.5680058, -117.0649996)",17400,17400,17400,18400,14300
BEYER BLVD,DAIRY MART RD,SMYTHE AVE,"(32.567038, -117.062411)","(32.567038, -117.062411)",8600,8400,8400,8400,8400
BEYER BLVD,SMYTHE AVE,COTTONWOOD RD,"(32.5591969, -117.0495574)","(32.5591969, -117.0495574)",11800,10700,10700,10700,10700
BEYER BLVD,COTTONWOOD RD,WEST PARK AVE,"(32.5584324, -117.0480235)","(32.5584324, -117.0480235)",9000,9000,9000,8400,8400
BEYER BLVD,WEST PARK AVE,INTERSTATE 805,"(32.5582581, -117.0445238)","(32.5582581, -117.0445238)",9700,9500,9500,9500,9500
BEYER BLVD,INTERSTATE 805,OTAY MESA RD,"(32.5576775, -117.0470611)","(32.5576775, -117.0470611)",8100,8200,8200,6200,6200
BEYER WAY,4TH AVE (CHULA VISTA),PALM AVE/PICADOR BLVD,"(32.5927139, -117.0638508)","(32.5927139, -117.0638508)",14900,14900,14900,14700,14700
BEYER WAY,PALM AVE/PICADOR BLVD,CORONADO AVE,"(32.5819097, -117.0614511)","(32.5819097, -117.0614511)",7200,7200,7200,7200,7400
BEYER WAY,CORONADO AVE,DEL SOL AVE,"(32.5776898, -117.0640927)","(32.5776898, -117.0640927)",4000,4000,4000,4600,4600
BIRMINGHAM WY,CHILDRENS WY,BIRMINGHAM DR,"(32.7962674, -117.1507574)","(32.7962674, -117.1507574)",5700,5700,5700,5700,5700
BISBY LAKE AVE,SAN CARLOS DR,NAVAJO RD,"(32.8003133, -117.01423)","(32.8003133, -117.01423)",6600,6600,3400,3400,3400
BISBY LAKE AVE,NAVAJO RD,HIGHWOOD DR,"(32.8032625, -117.0136733)","(32.8032625, -117.0136733)",2700,2700,2700,2800,2800
BLACK MOUNTAIN RD,CARMEL VALLEY RD,EMDEN RD,"(32.9852343, -117.1317905)","(32.9852343, -117.1317905)",11700,11700,11700,14700,14700
BLACK MOUNTAIN RD,EMDEN RD,MALER RD,"(32.9824833, -117.1308694)","(32.9824833, -117.1308694)",10800,10800,10800,12200,12200
BLACK MOUNTAIN RD,MALER RD,WESTVALE RD,"(32.9802599, -117.1308875)","(32.9802599, -117.1308875)",9600,8900,8900,8900,8900
BLACK MOUNTAIN RD,WESTVALE RD,STARGAZE AVE,"(32.9778929, -117.1308972)","(32.9778929, -117.1308972)",11600,11600,11600,11600,11600
BLACK MOUNTAIN RD,STARGAZE AVE,OVIEDO ST,"(32.9746262, -117.1315092)","(32.9746262, -117.1315092)",12500,12500,12500,13300,13300
BLACK MOUNTAIN RD,OVIEDO ST,CARMEL MOUNTAIN RD,"(32.9683728, -117.1292685)","(32.9683728, -117.1292685)",18300,18300,17600,17200,17200
BLACK MOUNTAIN RD,CARMEL MOUNTAIN RD,PASEO MONTALBAN,"(32.9633851, -117.1266154)","(32.9633851, -117.1266154)",25800,25800,25800,14600,14600
BLACK MOUNTAIN RD,PASEO MONTALBAN,TWIN TRAILS DR,"(32.9595947, -117.1264354)","(32.9595947, -117.1264354)",12900,12900,12900,14800,14800
BLACK MOUNTAIN RD,TWIN TRAILS DR,ROUTE 56,"(32.9574134, -117.1285501)","(32.9574134, -117.1285501)",33000,33000,33000,33300,33300
BLACK MOUNTAIN RD,ROUTE 56,PARK VILLAGE RD,"(32.9529913, -117.1302468)","(32.9529913, -117.1302468)",34600,34600,32300,32300,32300
BLACK MOUNTAIN RD,PARK VILLAGE RD,MERCY RD,"(32.9468426, -117.1300221)","(32.9468426, -117.1300221)",30300,30300,30300,30600,27700
BLACK MOUNTAIN RD,MERCY RD,WESTVIEW PKWY,"(32.9374619, -117.1271907)","(32.9374619, -117.1271907)",33100,33100,33100,32700,28600
BLACK MOUNTAIN RD,WESTVIEW PKWY,CAPRICORN WY,"(32.9332001, -117.1259143)","(32.9332001, -117.1259143)",25900,25900,23200,23200,23200
BLACK MOUNTAIN RD,CAPRICORN WY,GEMINI AVE,"(32.9242978, -117.124464)","(32.9242978, -117.124464)",23600,22500,22500,22500,22500
